platform_cid,labels
1850191300,"时尚,娱乐影视,服装,摄影,美妆"
6068071240,"娱乐影视,直播,情感,旅行,新闻"
6372387720,"服装,旅行,健身,情感,娱乐影视"
1941062860,"美妆,娱乐影视,服装,情感,美食"
1698833614,"摄影,时尚,旅行,情感,娱乐影视"
6516670290,"健身,服装,娱乐影视,美食,情感"
2172637555,"情感,旅行,娱乐影视,服装,美妆"
5505272727,"摄影,情感,旅行,娱乐影视,音乐"
1698438040,"新闻,娱乐影视,旅行,情感,艺术创意设计"
2001658431,"娱乐影视,星座,旅行,健身,新闻"
